prev_lag,prev_wave,curr_wave,n_prev,n_curr,n_matched,overlap_rate
3,2021-01,2021-04,8411,8593,3249,0.38627987159671856
3,2021-02,2021-05,8371,8640,3355,0.4007884362680683
3,2021-03,2021-06,8417,8659,3308,0.3930141380539385
3,2021-04,2021-07,8593,8472,3283,0.3820551611777028
3,2021-05,2021-08,8640,8567,3255,0.3767361111111111
3,2021-06,2021-09,8659,8628,3232,0.3732532625014436
3,2021-07,2021-10,8472,8732,3094,0.36520302171860247
9,2021-01,2021-10,8411,8732,1619,0.1924860301985495
3,2021-08,2021-11,8567,8731,3212,0.3749270456402475
9,2021-02,2021-11,8371,8731,1594,0.1904193047425636
3,2021-09,2021-12,8628,8687,3234,0.3748261474269819
9,2021-03,2021-12,8417,8687,1613,0.1916359748128787
3,2021-10,2022-01,8732,8788,3568,0.4086120018323408
9,2021-04,2022-01,8593,8788,1882,0.2190154777144187
3,2021-11,2022-02,8731,8759,3460,0.3962890848700034
9,2021-05,2022-02,8640,8759,1899,0.21979166666666666
3,2021-12,2022-03,8687,8778,3463,0.398641648440198
9,2021-06,2022-03,8659,8778,1915,0.2211571775031759
3,2022-01,2022-04,8788,8751,3626,0.41260810195721437
9,2021-07,2022-04,8472,8751,1867,0.22037299338999056
3,2022-02,2022-05,8759,8796,3584,0.40917913003767553
9,2021-08,2022-05,8567,8796,1883,0.21979689506244893
3,2022-03,2022-06,8778,8783,3625,0.4129642287537024
9,2021-09,2022-06,8628,8783,1943,0.22519703291608717
3,2022-04,2022-07,8751,8884,3615,0.4130956462118615
9,2021-10,2022-07,8732,8884,3778,0.43266147503435637
3,2022-05,2022-08,8796,8934,3630,0.41268758526603
9,2021-11,2022-08,8731,8934,3862,0.442331920742183
3,2022-06,2022-09,8783,8913,3662,0.41694181942388703
9,2021-12,2022-09,8687,8913,3869,0.44537815126050423
3,2022-07,2022-10,8884,8821,4004,0.45069788383610987
9,2022-01,2022-10,8788,8821,1967,0.22382794720072827
3,2022-08,2022-11,8934,8827,4075,0.4561226774121334
9,2022-02,2022-11,8759,8827,1972,0.2251398561479621
3,2022-09,2022-12,8913,8814,4073,0.4569729608437114
9,2022-03,2022-12,8778,8814,1973,0.22476646160856686
3,2022-10,2023-01,8821,8829,3731,0.42296791746967466
9,2022-04,2023-01,8751,8829,1975,0.22568849274368644
3,2022-11,2023-02,8827,8816,3687,0.4176957063555002
9,2022-05,2023-02,8796,8816,1964,0.22328331059572534
3,2022-12,2023-03,8814,8788,3668,0.41615611527115953
9,2022-06,2023-03,8783,8788,1957,0.22281680519184788
3,2023-01,2023-04,8829,8764,3740,0.4236040321667233
9,2022-07,2023-04,8884,8764,1941,0.2184826654660063
3,2023-02,2023-05,8816,8751,3720,0.4219600725952813
9,2022-08,2023-05,8934,8751,1978,0.22140138795612269
3,2023-03,2023-06,8788,8743,3674,0.4180700955848885
9,2022-09,2023-06,8913,8743,1969,0.22091327274767195
3,2023-04,2023-07,8764,8575,3610,0.4119123687813784
9,2022-10,2023-07,8821,8575,0,0
3,2023-05,2023-08,8751,8642,3639,0.41583818992115185
9,2022-11,2023-08,8827,8642,0,0
3,2023-06,2023-09,8743,8635,3621,0.41415989934804986
9,2022-12,2023-09,8814,8635,0,0
3,2023-07,2023-10,8575,8741,3202,0.37341107871720114
9,2023-01,2023-10,8829,8741,2008,0.2274323252916525
3,2023-08,2023-11,8642,8732,3275,0.37896320296227726
9,2023-02,2023-11,8816,8732,1992,0.22595281306715065
3,2023-09,2023-12,8635,8697,3262,0.3777649102489867
